,request_id,function name,duration (ms),billed duration (ms),memory size (mb),max_memory_used (mb),init duration (ms)
0,9c415e55-4608-4527-96ca-f166d74a90a1,fn9,1.69,504,1024,62,501.45
1,1cc26a7a-1e41-46d7-b28a-2d42fb411729,fn7,1.31,148,1024,26,146.08
2,b1186662-b067-49c5-84f0-e5be99a6ffb7,fn8,2.68,405,1024,46,401.61
3,4e69521c-c776-4edb-b3e2-9dd5783aedaa,fn12,1.27,633,1024,62,631.32
4,9da29f42-f34d-4120-bf08-659371ed4332,fn14,1.48,404,1024,53,402.39
5,24c087af-0263-4cff-ada6-657a419858ad,fn11,3.02,865,1024,63,861.55
6,b3099666-eb48-4328-bec4-3d73c53d9353,fn10,1.22,404,1024,62,402.13
7,7f121d54-83d2-4e08-9d0f-27e6d7131e17,fn15,1.52,880,1024,66,877.62
8,fedf3b52-cbdf-40e0-99d4-d3aece4dfd86,fn6,1.41,165,1024,26,163.32
9,fcdf8872-1a0e-4e72-b286-a585ac371c82,fn17,2.60,600,1024,62,596.67
10,5fba5fa7-bfc5-4fb2-92de-b2b614d50f0f,fn13,1.50,424,1024,53,422.06
11,f653c292-b3ca-40f5-b11a-442674fb0265,fn16,1.35,506,1024,62,504.29
12,f9917cba-28b3-463a-9d27-81e35754fb43,fn20,1.31,592,1024,53,590.62
13,a6d7d520-2ae1-4834-b3b0-fc0fda0bf29c,fn19,1.86,549,1024,62,546.55
14,e1360a3f-4c72-43e1-8802-58109d960508,fn21,1.34,326,1024,53,324.25
15,a523129c-1459-4515-a3d9-4fa73a6f2ed3,fn22,2.92,560,1024,53,556.32
16,7722dad8-8601-4416-aa3f-1ee4c7ba7191,fn18,1.37,614,1024,62,612.62
17,208d841d-0d84-4ed8-84c0-32ae5518e511,fn24,3.05,604,1024,39,600.01
18,947886da-c7a9-46e1-9ae0-a64de98e5f00,fn23,1.29,338,1024,39,336.06
19,77f55913-8007-4ca5-a990-8e37cfa12594,fn25,1.30,298,1024,39,296.35
20,aeafd028-d225-48ad-bf00-b800144f5a0c,fn28,1.11,249,1024,43,247.33
21,6798aa40-368e-4484-a5d6-8166f437c8be,fn27,2.51,379,1024,31,375.81
22,ea3f7ba3-81c3-4251-86b5-b22fa1962c02,fn29,2.37,294,1024,44,290.95
23,2b8331f4-d0db-4cc9-a509-462288888cdf,fn31,1.22,302,1024,43,300.60
24,12497d61-f481-413c-b9a8-a53e245ef837,fn34,3.42,820,1024,77,815.63
25,2e4ea134-1a06-4bec-aaea-7d89d44c55cf,fn33,2.66,374,1024,43,371.17
26,52325270-14ba-40a7-b90b-f7641071459b,fn35,1.37,1046,1024,81,1044.38
27,1b6d633e-909c-4c39-8375-fcf52be29748,fn37,1.08,95,1024,27,93.38
28,8f7bb511-3bdb-4e86-b872-4b9413c12c9a,fn26,3.34,572,1024,69,567.77
29,8e548ecd-25fc-428b-8fa3-c79c0b620bc6,fn36,1.31,802,1024,81,799.83
30,3889b7da-93da-4523-a352-1db059f19d21,fn38,2.18,161,1024,31,158.00
31,0ba092ee-4b54-450e-8e6d-0de03aaa47ee,fn30,2.76,385,1024,43,381.43
32,d08219b7-8924-4cb0-a316-280901df84ac,fn40,1.56,883,1024,81,880.85
33,66b61f67-9487-40e8-999b-022e532677f9,fn39,5.83,1076,1024,81,1069.95
34,91d95aa9-c3b5-4502-9f6c-0128b69d19c2,fn32,1.29,283,1024,43,280.75
35,d87e7184-9713-4e5e-a19d-6e047b4b240d,fn43,1.54,659,1024,81,656.71
36,5cf9a86a-901a-47fe-9fe6-46458a94d1aa,fn42,1.25,759,1024,81,757.24
37,72db0687-59e4-462e-8948-e8073d914fc7,fn45,1.31,132,1024,25,130.22
38,3346d653-5f87-4bd9-a741-6c16493d378a,fn46,1.44,230,1024,26,228.08
39,e68db7b7-c759-42b2-b3dc-b8c6485a5c15,fn47,1.19,114,1024,26,112.13
40,39d98db0-77aa-4cb3-856a-3fcd15d2192d,fn49,2.41,102,1024,26,98.86
41,b178c9ba-0bfd-44d3-94f8-6811bbbd775e,fn50,4.56,232,1024,26,227.23
42,8659cb86-6d1d-4ccb-916c-2450a2485773,fn51,1.56,126,1024,26,124.40
43,54d402df-c0ff-4e7b-b6b8-94ed4b3490bf,fn53,1.74,100,1024,26,98.24
44,1447eab2-1ef0-4c31-b553-c83d8df61db0,fn54,1.64,145,1024,26,143.22
45,1e461274-1b74-4782-b328-89c15efca215,fn55,1.64,166,1024,26,164.11
46,25e65b18-3b78-4f58-8761-e9612b6e0479,fn56,1.17,114,1024,25,112.81
47,955c2666-56fd-4f45-bd45-5d070e9c98db,fn57,1.35,778,1024,81,776.46
48,74b1cf70-d726-4f85-be69-b24029d365a2,fn58,1.25,807,1024,81,805.09
49,f72a583f-a909-4a0f-aba5-a30b72f1d397,fn59,1.34,151,1024,27,149.21
50,e6d4f341-479b-4822-9a0f-c9858f7c2805,fn48,2.37,125,1024,26,122.41
51,e9f359d2-d029-40fa-8025-e962ab0c7988,fn61,2.51,261,1024,28,258.11
52,1acdfd70-1886-4a54-9c97-f2a0c73d2541,fn60,1.35,102,1024,27,100.43
53,3d55a856-c1aa-4396-87b3-917d53914453,fn41,3.09,749,1024,81,744.92
54,30f615c9-c8e5-4789-93a2-0ab4c5f2ceba,fn63,1.30,133,1024,27,131.50
55,bbc9350a-e17b-4213-b576-0966fa95c1e7,fn62,2.08,98,1024,28,95.82
56,18dd5b36-8640-44d9-868e-48da4d25cb7d,fn44,1.34,998,1024,81,995.97
57,45c3ac83-41fe-4579-b87f-55547976f097,fn64,1.50,197,1024,27,195.49
58,fbc4685d-7312-49e8-875f-89b08de4852e,fn52,1.60,174,1024,26,171.46
59,2ba6a6b4-c273-4fe9-bfbb-20f76197ce1c,fn65,2.09,180,1024,27,177.56
60,c6b03805-57d3-4284-a55a-195b4c596073,fn66,2.41,134,1024,28,131.03
61,9bdd74e7-fb88-4a38-9846-6a763792347c,fn68,1.51,819,1024,81,817.36
62,1a88d227-c081-492c-b3ec-3a93f86e8ce9,fn67,1.38,782,1024,81,780.37
63,76f2831f-9d13-4c28-a2d0-8682beb4cea3,fn73,1.89,739,1024,81,736.50
64,97ac2ab3-0a19-477d-9195-1fae0e3d32a0,fn71,1.55,757,1024,81,755.28
65,3b53c6d5-1f90-4e8f-b1ea-6031afef7f2f,fn72,1.33,816,1024,81,814.03
66,d2b81d6c-2aab-43fd-a6eb-50cc7a47f804,fn75,1.26,360,1024,57,358.06
67,fe34b632-ec03-4ae2-9566-227f1a74517f,fn76,1.48,472,1024,57,469.88
