,request_id,function name,duration (ms),billed duration (ms),memory size (mb),max memory used (mb),init duration (ms),import duration (ms)
0,e2591aea-173c-4f5a-84eb-8c56ee40e87a,fn5,1.38,426,1024,43,424.19,240.92745780944824
1,5ec7ee45-0b57-44ed-9952-097ffe465014,fn2,1.38,985,1024,68,982.93,712.1584415435791
2,9b71c2e5-ec81-42c9-8a8a-3435e6e0a170,fn1,1.61,580,1024,59,577.56,447.82352447509766
3,6320efb8-0896-475e-b54b-b56a1e6eaf29,fn4,2.35,626,1024,51,623.37,393.07713508605957
4,d14a78ca-376d-436b-8cbc-94556563227d,fn6,1.24,131,1024,26,129.40,27.59718894958496
5,6047fb0f-1567-4221-b89b-0d811e4f28a5,fn7,1.52,191,1024,26,189.30,24.878263473510742
6,7a3f47bf-aae2-4858-84f4-92683da8dba8,fn8,1.73,347,1024,46,344.94,234.52496528625488
7,4adb402e-01ad-4b30-a23d-e2c979f1d760,fn9,1.30,762,1024,62,760.14,533.4863662719727
8,4522c2f2-2d99-4425-b73e-cb7f478375bc,fn10,1.19,768,1024,62,766.75,534.0759754180908
9,d694de3e-9c06-4ddf-ba3e-ac36003993be,fn11,1.46,773,1024,62,771.30,555.3865432739258
10,ce22dcb8-966d-46dd-809a-b5b72b1889d0,fn15,1.30,833,1024,66,831.69,647.5925445556641
11,5ef2de14-8ef1-452e-8390-691cec87c44b,fn18,1.52,848,1024,62,845.68,584.4388008117676
12,15419158-3c59-400d-b581-4f0bbad15376,fn21,1.45,750,1024,53,747.60,479.4890880584717
13,287f0291-df9f-44dc-a909-c40ff6528e7f,fn22,2.25,804,1024,53,801.17,550.2042770385742
14,033da213-2f79-4f49-a224-8018c26e4ca9,fn25,1.43,527,1024,39,525.41,284.33728218078613
15,87f04cb4-52b3-4b45-9f53-49045c388968,fn23,2.58,530,1024,40,526.42,262.2711658477783
16,22f1b3ca-7bbc-499a-ba6f-025607933d7c,fn26,1.59,1585,1024,70,1582.51,1339.665174484253
17,a96dfb72-b39a-4ab5-8b4a-9da5ec93131c,fn27,1.31,495,1024,31,492.87,222.68414497375488
18,05faa0ce-f134-42e8-8ce4-e2cd6b1c9593,fn28,1.49,513,1024,43,511.17,296.0026264190674
19,aee77f96-7c53-47c9-857d-a423492f1866,fn29,2.06,514,1024,43,511.71,305.999755859375
20,a01cf666-6f00-4d7d-a2c1-ef87af00e895,fn36,1.57,904,1024,81,901.65,775.4302024841309
21,4f1b5fa1-69c2-4f5d-8f7e-c7ee88fec6b9,fn41,16.17,1383,1024,81,1366.27,1124.131441116333
22,9ff63c34-cafb-4c5d-99a6-4b443718abdd,fn42,1.25,1133,1024,81,1131.22,920.3617572784424
23,d0097f4c-23c2-467b-bdb7-dde08c744e93,fn45,1.33,230,1024,25,227.89,25.051116943359375
24,9d674693-d7ac-475b-a0cc-bb8aa4939e78,fn48,2.57,250,1024,26,246.67,25.756120681762695
25,ac362eb5-2178-42ed-9916-fe06bebeb0f3,fn51,1.36,331,1024,26,329.18,27.88853645324707
26,aaa505ec-dbe6-4dc3-8162-63cc161bff45,fn52,1.38,101,1024,25,99.52,6.058216094970703
27,40db838c-c8e4-4561-9e09-a2d1eeccbf09,fn53,1.38,177,1024,26,175.06,13.624191284179688
28,0850c796-5492-45d3-8367-453b5508773f,fn55,1.42,247,1024,25,245.33,33.63180160522461
29,1830d69f-f725-45a2-b9f8-ffa9dee3e41c,fn56,1.51,287,1024,26,284.61,30.016183853149414
30,6279f787-e4b8-4853-b553-a94037f9d463,fn57,1.62,1218,1024,81,1215.94,973.7141132354736
31,00012d63-fd1b-4170-bd08-51107d525f2f,fn60,1.40,278,1024,27,275.62,81.1777114868164
32,986a9288-5f6a-4761-bd22-ef63c48f2be4,fn61,1.36,224,1024,27,222.47,43.70737075805664
33,1dfafc41-4c49-4918-8ded-f0625782a659,fn62,2.57,282,1024,28,278.82,74.82743263244629
34,cfe7bb09-e27f-4a42-be35-c6f9f0cb8174,fn63,1.16,249,1024,27,247.22,54.9769401550293
35,84306ce7-0bd8-483d-b8d2-682a46c64fdc,fn65,1.45,306,1024,27,303.75,76.79009437561035
36,a034bde8-dbc5-481b-8779-d30087e1f019,fn68,1.27,994,1024,81,991.88,807.7371120452881
37,c538f467-f971-4980-b958-3ff4e25b0cdf,fn69,1.44,1129,1024,81,1127.50,919.9948310852051
38,d9f128e6-b1f6-4d43-a5df-e4841c4634ed,fn71,1.61,1134,1024,81,1132.37,909.4541072845459
39,bd2777ae-e2e2-4786-bfee-4bf5a666e3a2,fn72,21.15,1268,1024,81,1246.32,1031.3076972961426
40,b0b0be40-3d86-4722-910b-39186d839ebb,fn73,1.50,1220,1024,81,1217.62,971.6918468475342
41,15b0b4b6-e020-4a22-9104-f6606b115c47,fn75,1.39,627,1024,57,624.76,404.10614013671875
42,a8413724-d763-4c17-9efa-72bcbd2f8105,fn77,2.31,548,1024,57,544.70,357.13648796081543
43,e9ae1508-f02e-46b9-8dbc-3d4c418f5e84,fn78,1.42,486,1024,57,484.51,362.71190643310547
44,e6c81357-07a9-40a8-b0cd-8474a283741c,fn82,2.41,703,1024,57,700.27,443.5772895812988
45,ac205dae-82e1-4a75-b6d9-d8f879f96bf3,fn83,1.39,648,1024,56,646.23,441.8673515319824
46,df7eb4c6-abaa-48fd-a026-5e6b00e4e768,fn85,1.42,635,1024,57,632.64,412.91093826293945
47,064d0db8-f212-4f2a-9f0c-8b0dacbf47fb,fn87,1.72,616,1024,57,613.53,454.70309257507324
48,4aa3bc47-0d29-447b-803a-a0a576fc730c,fn88,1.34,680,1024,57,677.97,463.00387382507324
49,407ea28c-b526-445b-8804-b35db69b56b5,fn89,2.54,706,1024,57,702.50,476.3331413269043
50,a9795ab1-c775-41df-b410-23a31ef4a510,fn90,1.26,710,1024,56,708.70,461.3065719604492
51,441573a4-cda5-4ed8-8d17-78758ad8340d,fn91,4.66,654,1024,57,648.95,423.86913299560547
52,f96df196-3b90-41a4-99ea-7cab9c8aec4f,fn93,1.62,1767,1024,90,1765.00,1609.3213558197021
53,bb5bf100-629e-4c05-8739-cdb439a07b3c,fn96,1.68,223,1024,28,220.75,49.0725040435791
54,92084a77-8af9-4bbb-ad80-22328d2bf318,fn97,1.46,168,1024,28,166.28,40.41862487792969
55,1790fe96-c26b-4e65-92b6-db0128c6bf4f,fn98,1.53,306,1024,27,304.05,76.13801956176758
56,18b0b24f-f9a6-43dd-8c5c-49ac6abaad15,fn99,1.66,156,1024,26,154.02,13.146400451660156
57,307d0d45-a947-4759-881c-ea812f840cb4,fn100,2.58,313,1024,26,310.15,30.78317642211914
58,5633d27a-168e-474f-a2a3-fea1319b5495,fn101,1.54,285,1024,26,283.35,34.01541709899902
59,11c3047b-4fd3-4cb5-9de2-eeca1bb90104,fn103,1.23,903,1024,52,901.16,669.9526309967041
60,232ca1ba-02c7-4986-a53c-87377cae533e,fn106,1.58,318,1024,26,315.43,43.4567928314209
61,3c85399d-dce7-47ba-92ac-9b1f0f09b7a6,fn107,1.30,205,1024,26,203.65,30.65347671508789
62,16bdf242-5dbe-4f22-bf88-1b984b517ace,fn109,1.50,184,1024,26,182.45,21.970033645629883
63,b168b67d-8508-4ff7-99ef-bb89019e6dd2,fn110,1.46,303,1024,26,300.85,50.0485897064209
64,33894be6-44a6-488c-b294-c0866d760a51,fn108,1.81,140,1024,26,138.12,27.94504165649414
65,1dfc673f-eca3-4877-882b-73718a7616ce,fn112,1.64,192,1024,26,189.38,14.240503311157227
66,053271d2-831b-4acc-b38d-853412a86010,fn114,1.36,168,1024,28,166.60,44.835567474365234
67,7b16088a-af2c-444f-9aeb-d41453150f09,fn119,2.34,334,1024,28,331.05,82.34310150146484
68,82743ece-6979-4bd7-b39c-e1c0d701bbc3,fn123,2.60,503,1024,37,500.19,289.4725799560547
69,806a519d-1d15-44ab-87ce-4ccde6934b5b,fn124,2.82,609,1024,40,605.18,339.28847312927246
70,6fe4021c-da6d-4bc2-928a-0b8220d050ba,fn125,1.69,529,1024,39,526.74,285.581111907959
71,abf40566-fcf7-4d8f-bcfb-30d4bd5558ab,fn126,1.42,532,1024,39,530.00,270.94268798828125
72,ffb19b09-5a35-426e-a287-d34e8ac1fa6e,fn128,1.40,488,1024,28,486.40,255.27000427246094
73,351df1ee-7683-49e1-9a91-0ebd765d0f43,fn130,1.19,186,1024,28,184.17,38.09070587158203
74,4dd8883c-d4d4-4b5a-9909-0abd6263b85d,fn131,1.27,297,1024,27,295.50,52.7651309967041
75,9b3f1064-c43d-4dd9-9bb4-78bbf426ec5a,fn132,1.26,313,1024,26,310.87,52.571773529052734
76,9508a94e-3bef-4fef-a3b4-ae1579fc4efa,fn133,1.44,157,1024,28,155.28,56.270599365234375
77,ac5057f9-7770-4f9f-b05b-82309344a42a,fn136,1.22,310,1024,30,307.94,83.30678939819336
78,68f64e2e-b067-4219-b208-d67087763019,fn134,2.25,2054,1024,102,2050.94,1801.6541004180908
79,e943712e-b589-4b71-9ab5-5d3705a9a2e3,fn137,1.38,275,1024,27,273.21,66.97201728820801
80,32bd7528-0e5b-46df-a88c-ce8595856347,fn139,1.52,298,1024,26,296.44,73.31395149230957
81,acd58354-84d9-4dd1-be5e-4f74a9547bd9,fn141,1.62,619,1024,43,617.02,343.0020809173584
82,8cded780-09e7-4b36-910e-2bd0cb7dba47,fn143,1.46,658,1024,46,656.54,463.23299407958984
83,cdba7601-70f0-4bd1-8c17-4e4ac72b30c4,fn144,1.30,613,1024,45,610.90,362.3037338256836
84,1f1b8e72-abe1-4c5b-9e08-d9149d70a9e5,fn146,2.53,840,1024,59,836.57,630.3911209106445
85,f1604c66-2bf1-4434-8c61-2387751de903,fn147,1.59,1515,1024,52,1512.50,1290.0121212005615
86,bdfc028c-be58-4607-b43b-2aa6476d09aa,fn149,1.51,272,1024,25,269.76,27.325868606567383
87,eeedf8d5-5177-4759-aa8a-ef8f2db268c6,fn148,1.82,1165,1024,42,1162.62,1035.4366302490234
88,61f6d45d-8f5f-4fa2-a574-9599d0e68107,fn154,1.68,587,1024,43,584.90,300.14801025390625
89,d14a55ca-0df8-49a3-9808-f655aff883ed,fn155,1.53,542,1024,43,539.59,288.8526916503906
90,81385bd4-8a9b-490c-bbe1-a631e7c83a2f,fn157,2.80,563,1024,44,559.75,311.8257522583008
91,be1f93eb-3084-4044-839a-731f5bdfab81,fn158,1.39,402,1024,43,399.62,263.0636692047119
92,0370d93f-0b6d-497d-84e8-3ecb914fa2f7,fn160,1.57,314,1024,42,312.41,169.480562210083
93,1aee958b-0b07-450b-bdc7-04a1caebcb1d,fn161,1.38,208,1024,26,205.79,36.698102951049805
94,841b6d21-4ae6-4f95-89b3-1f836403cc81,fn162,1.65,272,1024,26,270.10,51.83267593383789
95,fe2d25d9-e40b-45ee-ad16-09eafd4d14bd,fn165,2.30,325,1024,26,322.23,117.64025688171387
96,9e603f64-fe2a-4ad7-883f-81c4add9f630,fn166,1.94,229,1024,26,226.53,24.494409561157227
97,1b1c1d81-c6ec-45bd-9788-e986d2f1371a,fn168,2.37,231,1024,26,228.43,21.571874618530273
98,a5efb9d4-2d9e-4a91-a5c2-3d600cce5c80,fn169,1.19,240,1024,25,238.77,20.444154739379883
99,c0f3e7c8-4388-4eac-b0f2-22b5414a660a,fn170,1.48,803,1024,45,801.18,554.2857646942139
100,857e4ba2-1ca8-4623-a44e-ef7c6f41182d,fn171,2.69,567,1024,45,563.36,390.4271125793457
101,7f0a3a59-6c81-457b-a9df-fdd09ff4af7e,fn172,2.30,1786,1024,91,1783.22,1549.748182296753
102,d6dda703-0341-4a8d-839a-321be37da9d8,fn173,2.37,510,1024,40,507.61,271.5024948120117
103,31220c52-a0ab-4497-bdcc-b5037ed46f25,fn177,1.53,610,1024,39,608.23,302.37627029418945
104,05b76cc1-449c-4f83-a2d8-8ab074ffde67,fn181,1.69,479,1024,39,476.64,294.8594093322754
105,4ac8eb74-49ea-48e1-90c4-9dcc58f503d1,fn184,2.62,566,1024,40,562.54,275.623083114624
106,96a3be93-843a-4156-b09a-b8d85a0663e9,fn186,1.69,351,1024,39,349.06,239.166259765625
107,7a229848-9ccb-4c18-8397-cc5d0019f286,fn187,1.33,495,1024,39,493.33,251.06382369995117
108,5551172f-ae29-42fe-ac21-1ef0ddde3d81,fn192,1.54,454,1024,39,452.44,228.04784774780273
109,457b0017-ab48-478a-9156-47a5419c000e,fn193,1.28,392,1024,39,390.30,202.12316513061523
110,9ae80e56-fc16-476e-bfee-dfbac9d89a95,fn194,1.71,604,1024,39,601.74,324.7346878051758
111,9784093f-bce7-44cd-8e10-19a042000728,fn195,1.62,518,1024,39,515.99,272.39084243774414
