,request_id,function name,duration (ms),billed duration (ms),memory size (mb),max memory used (mb),init duration (ms),import duration (ms)
0,5c612d6b-3fe0-4125-9c84-fac563647330,fn1,1.62,2602,1024,31,2599.79,554.1377067565918
1,a6703624-87f8-4b9d-a7dd-5b42b40bf235,fn5,1.44,3981,1024,48,3979.47,1894.547700881958
2,580d969e-a705-441f-9eb6-2b687dc3b22c,fn3,2.73,4225,1024,58,4222.20,2125.2591609954834
3,5cbc07f6-7a35-4a91-ac0f-0e56b6c79ed7,fn6,1.29,735,1024,31,733.27,382.448673248291
4,09f873b6-4c56-4880-8841-5f16a6a71ac1,fn8,1.21,1625,1024,51,1623.41,1259.4285011291504
5,2a86d5d8-8147-49df-b2ae-3979bb8dc753,fn11,2.38,1291,1024,72,1287.62,969.3050384521484
6,e7a7f9c4-ebc3-4c7e-b9a5-6db4bd5b4aab,fn12,1.36,1802,1024,72,1800.13,1446.199655532837
7,d7b9460e-ab70-4f44-8651-ffe1207c9c8a,fn15,1.46,1247,1024,76,1245.32,841.7246341705322
8,ba79a42f-e288-4ae4-a5b1-83d0347e9c59,fn17,1.35,961,1024,71,959.15,698.7674236297607
9,e1b4b390-7dc7-4881-898f-75ddfc2e3e41,fn18,1.41,1007,1024,72,1004.77,686.5265369415283
10,904ff5c3-7211-4c03-b6b9-9a600bce5716,fn20,1.29,1188,1024,61,1186.38,828.6941051483154
11,7eef8e41-cdab-4990-b361-1dd619591697,fn22,1.44,852,1024,61,849.77,554.3744564056396
12,c2003108-a822-41f5-8243-de23a88811f8,fn23,1.39,1110,1024,43,1108.52,786.6191864013672
13,294b0570-52ea-4348-bb5a-803dfb285b36,fn27,1.03,530,1024,34,528.63,252.79474258422852
14,3415a279-1bc2-4a85-b58b-f2ac1326b95a,fn26,1.53,2362,1024,63,2359.99,2064.3157958984375
15,f0f35faf-827a-4c98-ba50-ae23da256b6f,fn28,1.31,857,1024,48,855.53,543.4443950653076
16,ad365c1a-81ab-4f18-a0aa-8134aaae89f3,fn29,1.83,692,1024,48,689.62,355.3433418273926
17,16cb6a3a-880c-4508-9c56-70042af0fb4e,fn31,1.29,607,1024,48,605.57,320.31798362731934
18,62c4093c-0c46-4cc0-90de-7a586523d139,fn32,1.58,619,1024,48,616.82,298.7987995147705
19,a3809fb9-1540-4a0e-a999-a029e8fc5c06,fn35,1.33,3175,1024,86,3173.11,2842.9524898529053
20,274c7644-17f0-469c-b4b5-52ec7e37db43,fn36,1.73,1320,1024,86,1317.32,1007.1756839752197
21,68a84be2-c8fe-416e-869b-b58401275176,fn38,1.39,586,1024,34,583.62,294.8908805847168
22,1183cf10-c262-4bc6-b44b-f90ea4866604,fn41,1.22,2541,1024,86,2539.31,2257.0741176605225
23,7ea4c82e-a455-4076-b132-ded9f9fb3846,fn43,2.24,1007,1024,86,1004.39,762.6032829284668
24,41a4f2c6-4c7b-4e25-9a8a-1fc518419cf1,fn44,1.39,2269,1024,86,2267.36,1965.3542041778564
